2025-11-20 16:05:59.316 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Starting FirstWebManagerApplication using Java 24.0.1 with PID 27656 (D:\shwork\work\javawork\java-project\first-web-manager\target\classes started by 23693 in D:\shwork\work\javawork\java-project)
2025-11-20 16:05:59.317 [main] DEBUG steven.test.project.FirstWebManagerApplication:? - Running with Spring Boot v3.5.6, Spring v6.2.11
2025-11-20 16:05:59.317 [main] INFO  steven.test.project.FirstWebManagerApplication:? - No active profile set, falling back to 1 default profile: "default"
2025-11-20 16:05:59.831 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:? - Tomcat initialized with port 8080 (http)
2025-11-20 16:05:59.839 [main] INFO  org.apache.catalina.core.StandardService:? - Starting service [Tomcat]
2025-11-20 16:05:59.840 [main] INFO  org.apache.catalina.core.StandardEngine:? - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-11-20 16:05:59.862 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:? - Initializing Spring embedded WebApplicationContext
2025-11-20 16:05:59.862 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:? - Root WebApplicationContext: initialization completed in 526 ms
2025-11-20 16:06:00.080 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean:? - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-11-20 16:06:00.268 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:? - Tomcat started on port 8080 (http) with context path '/'
2025-11-20 16:06:00.272 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Started FirstWebManagerApplication in 1.225 seconds (process running for 1.469)
2025-11-20 16:06:02.287 [http-nio-8080-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie:? - A cookie header was received [Hm_lvt_b97569d26a525941d8d163729d284198=1761730150,1761786853;] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2025-11-20 16:06:02.291 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:? - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-20 16:06:02.291 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:? - Initializing Servlet 'dispatcherServlet'
2025-11-20 16:06:02.291 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:? - Completed initialization in 0 ms
2025-11-20 16:06:02.506 [http-nio-8080-exec-10] INFO  org.springdoc.api.AbstractOpenApiResource:? - Init duration for springdoc-openapi is: 94 ms
2025-11-20 16:26:51.615 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown:? - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-20 16:26:51.617 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown:? - Graceful shutdown complete
2025-11-20 16:26:54.137 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Starting FirstWebManagerApplication using Java 24.0.1 with PID 26936 (D:\shwork\work\javawork\java-project\first-web-manager\target\classes started by 23693 in D:\shwork\work\javawork\java-project)
