2025-11-21 18:01:38.711 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Starting FirstWebManagerApplication using Java 24.0.1 with PID 22504 (D:\shwork\work\javawork\java-project\first-web-manager\target\classes started by 23693 in D:\shwork\work\javawork\java-project)
2025-11-21 18:01:38.712 [main] INFO  steven.test.project.FirstWebManagerApplication:? - No active profile set, falling back to 1 default profile: "default"
2025-11-21 18:01:39.483 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:? - Tomcat initialized with port 8080 (http)
2025-11-21 18:01:39.492 [main] INFO  org.apache.catalina.core.StandardService:? - Starting service [Tomcat]
2025-11-21 18:01:39.492 [main] INFO  org.apache.catalina.core.StandardEngine:? - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-11-21 18:01:39.522 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:? - Initializing Spring embedded WebApplicationContext
2025-11-21 18:01:39.522 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:? - Root WebApplicationContext: initialization completed in 784 ms
2025-11-21 18:01:39.576 [main] INFO  com.zaxxer.hikari.HikariDataSource:? - HikariPool-1 - Starting...
2025-11-21 18:01:40.675 [main] INFO  org.apache.catalina.core.StandardService:? - Stopping service [Tomcat]
2025-11-21 18:01:40.683 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger:? - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-11-21 18:01:53.362 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Starting FirstWebManagerApplication using Java 24.0.1 with PID 9756 (D:\shwork\work\javawork\java-project\first-web-manager\target\classes started by 23693 in D:\shwork\work\javawork\java-project)
2025-11-21 18:01:53.363 [main] INFO  steven.test.project.FirstWebManagerApplication:? - No active profile set, falling back to 1 default profile: "default"
2025-11-21 18:01:53.924 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:? - Tomcat initialized with port 8080 (http)
2025-11-21 18:01:53.930 [main] INFO  org.apache.catalina.core.StandardService:? - Starting service [Tomcat]
2025-11-21 18:01:53.930 [main] INFO  org.apache.catalina.core.StandardEngine:? - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-11-21 18:01:53.954 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:? - Initializing Spring embedded WebApplicationContext
2025-11-21 18:01:53.954 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:? - Root WebApplicationContext: initialization completed in 571 ms
2025-11-21 18:01:53.995 [main] INFO  com.zaxxer.hikari.HikariDataSource:? - HikariPool-1 - Starting...
2025-11-21 18:01:54.081 [main] INFO  com.zaxxer.hikari.pool.HikariPool:? - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5f0f70c7
2025-11-21 18:01:54.081 [main] INFO  com.zaxxer.hikari.HikariDataSource:? - HikariPool-1 - Start completed.
2025-11-21 18:01:54.368 [main] INFO  o.s.v.beanvalidation.OptionalValidatorFactoryBean:? - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-11-21 18:01:54.635 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:? - Tomcat started on port 8080 (http) with context path '/'
2025-11-21 18:01:54.639 [main] INFO  steven.test.project.FirstWebManagerApplication:? - Started FirstWebManagerApplication in 1.553 seconds (process running for 1.808)
2025-11-21 18:02:26.046 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:? - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-21 18:02:26.046 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:? - Initializing Servlet 'dispatcherServlet'
2025-11-21 18:02:26.047 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:? - Completed initialization in 1 ms
2025-11-21 18:02:26.068 [http-nio-8080-exec-1] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求开始: steven.test.project.controller.DeptController.deptsDelete
2025-11-21 18:02:26.076 [http-nio-8080-exec-1] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求参数: [1]
2025-11-21 18:02:26.179 [http-nio-8080-exec-1] INFO  steven.test.project.common.aop.LogAspect:? - <== 返回结果: {"code":200,"message":"success","data":null}
2025-11-21 18:02:26.179 [http-nio-8080-exec-1] INFO  steven.test.project.common.aop.LogAspect:? - <== 请求结束, 耗时: 102 ms
2025-11-21 18:02:30.534 [http-nio-8080-exec-2] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求开始: steven.test.project.controller.DeptController.list
2025-11-21 18:02:30.535 [http-nio-8080-exec-2] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求参数: [1,10,null]
2025-11-21 18:03:21.855 [http-nio-8080-exec-6] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求开始: steven.test.project.controller.DeptController.update
2025-11-21 18:03:21.855 [http-nio-8080-exec-6] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求参数: [{"id":30,"name":"ceshi","count":20,"remark":"4454"}]
2025-11-21 18:03:28.225 [http-nio-8080-exec-4] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求开始: steven.test.project.controller.DeptController.add
2025-11-21 18:03:28.225 [http-nio-8080-exec-4] INFO  steven.test.project.common.aop.LogAspect:? - ==> 请求参数: [{"name":"hhh","count":null,"remark":"11111"}]
